timestamp,score_lit,age,gender,age_of_exp,condition,bnk_sta,fe_exp,pc_disc,fs_inprac,conf_mm,conf_prep,conf_emer,emer_pri,conf_infd,conf_track,plan_largeps,conf_save,conf_goals,score_conf
5/19/2026 8:37:23,35,35-44,Female,1,1,1,0,0,0,4,3,5,4,4,4,4,5,4,37
5/19/2026 9:26:19,50,35-44,Male,1,0,0,0,0,0,3,4,3,5,2,2,3,3,3,28
5/19/2026 9:45:34,30,18-24,Female,0,0,0,0,1,0,4,4,5,5,4,4,4,4,4,38
5/19/2026 9:55:12,25,18-24,Female,0,0,0,0,1,0,1,1,1,1,1,2,1,1,1,10
5/19/2026 10:07:03,35,18-24,Male,1,1,0,0,1,0,3,3,4,2,3,3,5,4,3,30
5/19/2026 10:12:33,35,18-24,Male,1,1,0,1,1,0,4,4,5,4,4,5,4,5,3,38
5/19/2026 10:25:58,35,18-24,Female,1,0,0,0,1,0,3,4,4,2,1,3,4,3,4,28
5/19/2026 10:36:25,50,18-24,Prefer not to say,2,3,1,1,2,1,4,4,4,3,4,3,4,4,3,33
5/19/2026 10:57:37,45,18-24,Male,1,0,0,0,1,1,4,5,5,5,5,3,3,5,2,37
5/19/2026 11:05:55,20,18-24,Female,0,4,0,0,0,0,3,3,3,3,4,3,3,3,4,29
5/19/2026 11:06:49,50,25-34,Male,1,3,0,1,1,0,4,5,5,4,4,2,5,5,3,37
5/19/2026 11:07:49,50,18-24,Female,0,0,0,0,0,1,3,3,4,3,3,3,4,4,2,29
5/19/2026 11:22:58,45,25-34,Male,0,0,0,0,1,0,4,3,4,4,5,5,5,4,4,38
5/19/2026 11:42:31,25,18-24,Female,0,0,0,0,1,0,3,2,3,1,2,3,4,3,2,23
5/19/2026 11:53:01,40,18-24,Female,2,1,0,0,0,0,3,3,3,1,3,2,4,2,2,23
5/19/2026 12:00:01,40,18-24,Female,1,0,0,1,1,1,4,3,5,2,4,4,4,5,5,36
5/19/2026 12:05:32,35,18-24,Female,1,3,1,0,2,0,3,2,5,4,3,4,5,5,3,34
5/19/2026 12:13:46,40,18-24,Male,1,1,0,0,0,0,4,4,5,3,5,5,5,5,3,39
