Timestamp,Score,How old are you?,What gender are you? (optional),At what age were you first regularly responsible for managing your own money? e.g. through pocket money/ allowances ,Were earnings ever conditional prior to 16 e.g. chores? (Select not applicable if you selected the last option in the previous question),Did you regularly check bank statements before the age of 16?  ,"Were you taught any financial education before 16?  e.g. money management, interest rates,  budgeting templates, basics of investing",How often did your parents/carers discuss money management with you before age 16?  ,"Do you recall regularly using financial skills in practice before 18? e.g. budgeting, saving, investing (If yes, please specify example/s next to other)",I feel confident managing my finances,I feel prepared for unexpected financial expenses,I try to set money aside in case of an emergency,I prioritise keeping 3-6 months of wages in an emergency fund,I feel capable of making informed financial decisions,I regularly keep track of my income and spending,I usually plan ahead before making large purchases,I save money on a regular basis ,I set clear financial goals for myself ,"Suppose you put £100 into a savings account with a guaranteed interest rate of 2% per year, compounded annually. You don’t make any further payments and you don’t withdraw any money. After 5 years, how much do you think would be in the account?",How confident are you about the previous answer submitted? ,Does inflation increase or decrease purchasing power?,How confident are you about the previous answer submitted?,Which generally poses the biggest risk,How confident are you about the previous answer submitted?,"A savings account earns 3% interest per year, while inflation is 5% per year. After one year, what is most likely to happen to the purchasing power of the money in the account?  ",How confident are you about the previous answer submitted?,"If your monthly income is £3,200 and your expenses average £2,800, what does this indicate about your cashflow?",How confident are you about the previous answer submitted?,What is a blockchain?,How confident are you about the previous answer submitted?,Which debt usually has the highest interest rate?,How confident are you about the previous answer submitted?,What does APR stand for?,How confident are you about the previous answer submitted?,Why is net income considered more useful than gross income for managing personal budget?,How confident are you about the previous answer submitted?,What is compound interest?,How confident are you about the previous answer submitted?
5/19/2026 8:37:23,35 / 50,35-44,Female,Between ages 12-16,Yes sometimes,Yes,"No, not specifically",Never,No,4,3,5,4,4,4,4,5,4,Less than £110,5,Decrease,5,Investing in a single company stock,4,It will decrease,3,You have positive cash flow,2,It shows the actual earnings available after taxes and deductions,1,Mortgage,2,Annual Percentage Rate,1,It shows the actual earnings available after taxes and deductions,3,Interest earned on both the original amount an previous interest added,2
5/19/2026 9:26:19,50 / 50,35-44,Male,Between ages 12-16,Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Never,No,3,4,3,5,2,2,3,3,3,More than £110,4,Decrease,5,Investing in a single company stock,5,It will decrease,2,You have positive cash flow,3,Decentralized digital ledger used to track data,5,Credit card debt,4,Annual Percentage Rate,2,It shows the actual earnings available after taxes and deductions,2,Interest earned on both the original amount an previous interest added,5
5/19/2026 9:45:34,30 / 50,18-24,Female,I did not regularly manage money until after 16 (e.g. through paid work),No,No,"No, not specifically",Sometimes,No,4,4,5,5,4,4,4,4,4,Exactly £110,3,Decrease,1,Investing in a single company stock,2,"Not sure, would rather not guess",1,You have positive cash flow,4,Digital system for recording financial transactions,1,Credit card debt,1,Annual Profit Return,2,It shows the actual earnings available after taxes and deductions,3,Interest earned on both the original amount an previous interest added,3
5/19/2026 9:55:12,25 / 50,18-24,Female,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Sometimes,No,1,1,1,1,1,2,1,1,1,More than £110,4,Decrease,5,Investing in a single company stock,4,"Not sure, would rather not guess",2,You have negative cash flow leading to deficit,3,Digital system for recording financial transactions,2,Mortgage,4,Annual Profit Return,3,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,3
5/19/2026 10:07:03,35 / 50,18-24,Male,Between ages 12-16,Yes sometimes,No,"No, not specifically",Sometimes,No,3,3,4,2,3,3,5,4,3,More than £110,4,Decrease,4,Investing in a single company stock,5,It will decrease,3,You have negative cash flow leading to deficit,3,Digital system for recording financial transactions,1,Credit card debt,2,Annual Percentage Rate,3,It lists your average spending habits over a set time period,1,Interest earned on both the original amount an previous interest added,1
5/19/2026 10:12:33,35 / 50,18-24,Male,Between ages 12-16,Yes sometimes,No,With my parents,Sometimes,No,4,4,5,4,4,5,4,5,3,More than £110,5,Decrease,5,Investing in a single company stock,5,"Not sure, would rather not guess",3,You have positive cash flow,4,Decentralized digital ledger used to track data,1,Student loan,3,Annual Profit Return,1,It shows the actual earnings available after taxes and deductions,1,Interest earned on both the original amount an previous interest added,5
5/19/2026 10:25:58,35 / 50,18-24,Female,Between ages 12-16,No,No,"No, not specifically",Sometimes,No,3,4,4,2,1,3,4,3,4,More than £110,4,Decrease,5,Investing in multiple company stocks,5,It will decrease,4,You have positive cash flow,5,Digital system for recording financial transactions,1,Student loan,3,Annual Percentage Rate,2,It shows the actual earnings available after taxes and deductions,3,Interest earned on both the original amount an previous interest added,5
5/19/2026 10:36:25,50 / 50,18-24,Prefer not to say,Between ages 5-11,Yes often,Yes,Other,Often,Yes,4,4,4,3,4,3,4,4,3,More than £110,5,Decrease,5,Investing in a single company stock,5,It will decrease,5,You have positive cash flow,5,Decentralized digital ledger used to track data,5,Credit card debt,3,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,5
5/19/2026 10:57:37,45 / 50,18-24,Male,Between ages 12-16,No,No,"No, not specifically",Sometimes,"Yes, Saving, investing - automatic investing account",4,5,5,5,5,3,3,5,2,Exactly £110,4,Decrease,5,Investing in a single company stock,5,It will decrease,5,You have positive cash flow,5,Decentralized digital ledger used to track data,4,Credit card debt,4,Annual Percentage Rate,3,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,5
5/19/2026 11:05:55,20 / 50,18-24,Female,I did not regularly manage money until after 16 (e.g. through paid work),Yes always,No,"No, not specifically",Never,No,3,3,3,3,4,3,3,3,4,More than £110,4,Increase,4,Investing in a single company stock,3,"Not sure, would rather not guess",1,You have negative cash flow leading to deficit,1,It reflects your full summary before any payroll withholdings,1,Credit card debt,2,Asset protection Reserve,1,It lists your average spending habits over a set time period,1,Interest earned on both the original amount an previous interest added,1
